 model year:   1; julianday:  81; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  82; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  83; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  84; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  85; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  86; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  87; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  88; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  89; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  90; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  91; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  92; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  93; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  94; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  95; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  96; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  97; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  98; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday:  99; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 100; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 101; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 102; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 103; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 104; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 105; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 106; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 107; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 108; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 109; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 110; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 111; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 112; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 113; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 114; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 115; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 116; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 117; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 118; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 119; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 120; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 121; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 122; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 123; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 124; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 125; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 126; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 127; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 128; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 129; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 130; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 131; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 132; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 133; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 134; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 135; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 136; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 137; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 138; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 139; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 140; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 141; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 142; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 143; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 144; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 145; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 146; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 147; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 148; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 149; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 150; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 151; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 152; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 153; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 154; dVV(k_bbl_sed):   0.0000000000000000E+00
 model year:   1; julianday: 155; dVV(k_bbl_sed):   0.0000000000000000E+00
