[po4_discharge];[no3_discharge];[no2_discharge];[o2_discharge];[sio2_discharge];[tn_discharge];[na_discharge];[k_discharge];[mg_discharge];[ca_discharge];[cl_discharge];[so4_discharge];[co3_discharge];[hco3_discharge];[nh4_discharge];[chl_a_discharge];[br_discharge];[alk_discharge])
676.25806451613;5091.7857142857;132.5;3760.75;5145.7142857143;16350.357142857;52940.742358079;2892.0305676856;14558.353909465;19957.911155478;53401.97461213;46837.180286962;3700;165177.5;5080.8214285714;5359.1785714286;8.2088607594937;20254.5
757.35483870968;5313.2142857143;175.07142857143;3827.28125;5901.0714285714;16718.928571429;61641.572052402;3280.1091703057;15141.358024691;21009.695532818;61218.617771509;50533.374922021;3900;175535.83333333;5753.75;5496.9642857143;8.8291139240506;21520.5
756.32258064516;5297.5;174.28571428571;3824.90625;5908.5714285714;16770.357142857;61281.004366812;3260.5021834061;15239.423868313;21010.494135263;61057.827926657;50283.84279476;4000;176272.5;5743.8214285714;5474.8214285714;8.8037974683544;21620.5
775.03225806452;5676.4285714286;178.92857142857;4147.78125;6285.3571428571;18892.142857143;63602.445414847;3438.3406113537;15875.185185185;22217.269777889;63035.260930889;52351.840299439;4700;188570;5867.2857142857;5722.8571428571;9.3164556962025;23188
1404.3225806452;5716.4285714286;201.5;5717.59375;9056.4285714286;28754.285714286;170205.02183406;6181.3537117904;32165.555555556;32708.335413027;185300.42313117;83842.794759825;4800;269558.33333333;7274.1428571429;7591.5;13.645569620253;32898
1593.5483870968;5741.4285714286;189.71428571429;6318.6875;9754.6428571429;32430;202317.11790393;6952.9694323144;37937.983539095;36291.290242076;223497.88434415;93484.092326887;5000;297643.33333333;7552.3571428571;8286.4285714286;14.987341772152;36285
1521.4193548387;6119.6428571429;211;6201.0625;9739.2857142857;31410.357142857;183495.89519651;6653.1659388646;35049.382716049;35380.846019466;200555.7122708;89993.761696818;5400;293184.16666667;7841.4642857143;8221.4642857143;14.727848101266;35805.5
1528.3870967742;6213.9285714286;210.5;6394.5;10003.214285714;33157.5;189146.33187773;6805.4366812227;35819.135802469;36026.066882955;206634.69675599;91253.898939488;5900;300390.83333333;7677.8214285714;8209.4642857143;14.981012658228;36735.5
1582.4516129032;6252.8571428571;211.14285714286;6542.375;10324.285714286;34107.857142857;198171.22270742;7051.9650655022;37289.176954733;37030.421761917;217074.75317348;93858.390517779;6100;308705;7776.5;8313.6428571429;15.341772151899;37753
1461.6774193548;6233.9285714286;206.71428571429;6322.375;9872.8571428571;32964.642857143;181425.24017467;6563.9956331878;34851.440329218;35322.897429498;197887.16502116;88677.479725515;6200;296340.83333333;7369.3214285714;7942.1785714286;14.601265822785;36285.5
1418.3870967742;6500.7142857143;203.78571428571;6559.59375;10174.285714286;35391.428571429;180300.7860262;6615.807860262;34460.082304527;35622.211130522;195681.24118477;87854.023705552;7300;303238.33333333;7011.5;7762.9285714286;14.708860759494;37258
1388.1935483871;6679.6428571429;199.42857142857;6710.5625;10430.357142857;37222.5;178644.89082969;6676.9650655022;33858.353909465;35692.750187172;193142.45416079;86447.286338116;8300;307954.16666667;6754.1785714286;7558.4642857143;14.740506329114;37955.5
1181.2903225806;6902.5;204.21428571429;6151.59375;9599.2857142857;33228.214285714;134571.04803493;5687.9694323144;27459.670781893;32190.17968555;142383.63892807;75043.668122271;8500;282519.16666667;6723.4642857143;7064.25;13.335443037975;34934.5
1281.4193548387;7321.0714285714;202;6519.6875;10027.5;35036.785714286;136970.61135371;6001.6812227074;28821.893004115;34125.867232343;145963.32863188;77847.785402371;9300;301259.16666667;7443.0357142857;7694.1071428571;14.145569620253;37285.5
1361.2903225806;7221.0714285714;213.14285714286;6633.78125;10453.571428571;35653.214285714;153491.13537118;6320.1965065502;31496.666666667;35454.092837534;164944.99294781;82616.968184654;9100;310897.5;7563.25;7793.6071428571;14.601265822785;38404.5
1551.6774193548;11371.785714286;293.28571428571;9056.5625;13741.071428571;45161.785714286;192162.70742358;8557.8820960699;33861.646090535;46291.377589219;191715.09167842;116160.32439177;9100;370729.16666667;8794.6785714286;10186.25;19.386075949367;45568.5
983.90322580645;13771.428571429;162.07142857143;8893;13575;13989.285714286;63787.379912664;11026.331877729;28163.004115226;54526.678312952;55517.912552891;44064.25452277;0;354218.66666667;1628.1428571429;12355.571428571;24.46835443038;42469
1147.2741935484;13491.428571429;166.35714285714;8780.890625;14488.928571429;16360.714285714;75419.585152838;12443.122270742;29632.386831276;57169.965061143;68705.500705219;47707.423580786;0;371158;1774.8214285714;12125.071428571;26.373417721519;44493.5
1318.3225806452;14218.571428571;184.07142857143;9241.0625;15813.214285714;18333.571428571;85340.698689956;13833.318777293;31982.098765432;62236.461192912;78386.177715092;52043.044291953;0;398105.66666667;1968.0714285714;13056.142857143;29.240506329114;47724
1269.7741935484;14697.857142857;153.85714285714;8977.53125;19439.285714286;25100;160167.07423581;21668.558951965;36850.452674897;67986.398802096;179271.65021157;67604.491578291;0;408640;2406.5;13341.928571429;27.037974683544;48984
1436.064516129;18546.428571429;190.14285714286;11732.8125;23225;27107.142857143;168865.54585153;23781.834061135;45761.851851852;83728.550037434;182866.00846262;78658.76481597;0;504387;2831;17761.571428571;32.46835443038;60466
2042.9193548387;24533.571428571;254.21428571429;15755.671875;32026.071428571;39057.857142857;239153.29694323;33379.541484716;63039.87654321;116015.01123035;258622.00282087;109672.48908297;0;698725.33333333;3944.3214285714;23277.428571429;45.715189873418;83757.5
1716.9032258065;22484.285714286;218.78571428571;14697.28125;28553.571428571;33263.571428571;201362.48908297;28651.790393013;56948.230452675;104391.24032942;214420.87447109;97058.640049906;0;631536;3470;20491.214285714;39.962025316456;75702
1756.3225806452;24177.142857143;234.85714285714;15746.4375;29357.142857143;32440;192575.45851528;28207.947598253;59169.670781893;107368.75467931;202236.38928068;98337.492202121;0;660598;3518.2857142857;22061.071428571;41.025316455696;79186
2014.7741935484;27052.857142857;287.85714285714;18075.75;30713.571428571;33827.142857143;173317.07423581;27288.864628821;64391.399176955;118417.0950836;168512.5528914;102386.15096694;0;764216.33333333;3679.0714285714;25564.928571429;49.215189873418;91607
2899.7258064516;47131.428571429;515.85714285714;32421.671875;45185.357142857;55771.428571429;220757.09606987;38463.908296943;104819.42386831;193817.6066883;192046.54442877;159129.75670618;0;1422672.6666667;5276.9642857143;47851.928571429;90.018987341772;170541.5
2173.9677419355;47045;476;32219.84375;41558.571428571;53560;215423.23144105;36878.384279476;100125.92592593;183927.17743948;194849.64739069;152124.14223331;0;1403803;4719.3571428571;48656.5;84.316455696203;168293
1785.3548387097;38495.714285714;387.92857142857;26376.84375;35350;42270.714285714;183901.48471616;30896.943231441;83566.83127572;154105.24082855;167168.68829337;125945.102932;0;1116502.6666667;4060.0714285714;40765.5;67.506329113924;133862
1822.0322580645;34694.285714286;343.5;23389.625;34935;42030.714285714;209848.64628821;32657.598253275;78423.78600823;144161.51734465;207049.36530324;123459.13911416;0;996954.66666667;4085.2142857143;35766.214285714;60.632911392405;119525
1813.064516129;44838.571428571;431.64285714286;28898.3125;38720;37449.285714286;184895.98253275;31832.532751092;84974.074074074;159728.77464437;169587.58815233;129859.63817842;0;1087551.3333333;4351.7857142857;40866.214285714;64.759493670886;130413
1789.064516129;42805.714285714;417.07142857143;27216.5;36926.428571429;35040.714285714;176951.70305677;30385.982532751;79814.814814815;150048.66483654;164429.3370945;122729.25764192;0;1015152.6666667;4151.0714285714;38521.071428571;60.784810126582;121733
2080.8870967742;45651.428571429;469.71428571429;28747.546875;39046.785714286;37264.285714286;184226.04803493;31933.908296943;83399.218106996;159389.08160719;168150.07052186;128895.82033687;0;1070959.6666667;4441.4642857143;41045.714285714;66.778481012658;128430.5
1958.2258064516;56127.142857143;537.85714285714;33982.09375;45485;41165.714285714;238050.34934498;39144.890829694;94255.514403292;181171.69952583;236003.94922426;150524.01746725;0;1194731;5062.6428571429;48127.5;71.126582278481;143300
1957.9677419355;53070.714285714;504.78571428571;32374.34375;44637.5;42142.142857143;244122.79475983;39331.572052402;92914.074074074;176363.56376341;245984.48519041;148964.44167187;0;1167055;4995.5714285714;46349.857142857;69.025316455696;139970
2515.7096774194;60698.571428571;535.57142857143;38502.1875;54453.928571429;49564.285714286;260842.09606987;44652.31441048;115973.49794239;209294.7092588;253279.83074753;179360.57392389;0;1433741;5974.8571428571;50466.142857143;79.455696202532;171893
