po4 no3 no2 o2 sio2 tn na k mg ca so4 cl co3 hco3 nh4 chl_a br toc alk
3.885115789473683435e+03 2.982959677419355285e+04 1.515456521739130267e+03 1.184877187500000000e+05 5.828533333333332848e+04 6.263689285714285215e+05 2.436329082969432697e+06 8.189919213973799197e+04 4.210742386831275653e+05 5.250451584726728033e+05 5.166760416666666861e+05 2.325159379407616332e+06 5.060000000000000000e+03 7.982968852459015325e+05 5.475980555555556202e+04 1.439923928571428696e+05 2.402341772151898738e+02 1.013445833333333285e+05 4.912995000000000000e+05
3.339810526315789048e+03 2.690870967741935601e+04 1.260586956521739012e+03 1.083130937500000000e+05 5.063449999999999272e+04 5.732542857142856810e+05 2.164554890829694457e+06 7.176192139737991965e+04 3.846001646090534050e+05 4.739089593211879255e+05 4.627395833333333721e+05 2.075960507757404819e+06 4.720000000000000000e+03 7.181583606557375751e+05 4.513088888888889051e+04 1.302920714285714348e+05 2.146708860759493973e+02 8.864500000000000000e+04 4.420790000000000000e+05
3.122568421052631493e+03 2.489241935483871202e+04 1.148739130434782737e+03 1.003126562500000000e+05 4.694049999999999272e+04 5.310892857142857974e+05 2.000823493449781789e+06 6.664829694323144213e+04 3.566053086419752799e+05 4.392927127526827971e+05 4.271250000000000000e+05 1.922685472496473696e+06 4.680000000000000000e+03 6.665439344262294471e+05 4.195622222222222626e+04 1.205360714285714348e+05 1.986202531645569707e+02 8.185166666666665697e+04 4.104770000000000000e+05
2.991389473684210316e+03 2.352346774193548117e+04 1.075847826086956729e+03 9.531181250000000000e+04 4.450216666666666424e+04 5.053617857142857392e+05 1.909221790393013274e+06 6.343639737991266156e+04 3.411530041152262711e+05 4.176653481407536892e+05 4.052510416666666861e+05 1.840730606488011079e+06 4.560000000000000000e+03 6.343231147540983511e+05 3.970225000000000000e+04 1.144548214285714348e+05 1.885632911392405333e+02 7.778958333333332848e+04 3.906935000000000000e+05
2.902463157894736469e+03 2.222580645161290158e+04 1.028804347826086996e+03 8.997506250000000000e+04 4.268433333333332848e+04 4.772342857142857974e+05 1.818009912663755473e+06 6.072475982532751368e+04 3.239622633744855411e+05 3.963295233341652201e+05 3.838083333333333721e+05 1.755526093088857597e+06 4.560000000000000000e+03 6.035740983606557129e+05 3.870227777777778101e+04 1.082034999999999854e+05 1.789746835443038151e+02 7.426583333333332848e+04 3.718710000000000000e+05
2.924315789473684163e+03 2.194129032258064763e+04 1.053978260869565247e+03 8.712596875000000000e+04 4.307183333333332848e+04 4.595778571428572177e+05 1.784875764192139730e+06 6.094161572052402335e+04 3.097666666666666279e+05 3.873617169952582917e+05 3.767614583333333721e+05 1.711963328631875804e+06 4.440000000000000000e+03 5.884754098360656062e+05 4.013033333333333576e+04 1.050322857142857101e+05 1.758354430379746987e+02 7.388083333333332848e+04 3.625360000000000000e+05
3.268421052631578732e+03 2.203419354838709842e+04 1.049869565217391482e+03 8.802596875000000000e+04 4.387166666666666424e+04 4.585050000000000000e+05 1.831106419213973917e+06 6.330742358078603138e+04 3.237094238683127332e+05 3.987095832293486455e+05 3.844500000000000000e+05 1.778033850493652979e+06 4.420000000000000000e+03 6.066167213114753831e+05 4.539016666666667152e+04 1.096230714285714348e+05 1.805822784810126791e+02 7.571166666666665697e+04 3.735520000000000000e+05
3.721852631578947239e+03 2.388395161290322721e+04 1.139891304347826008e+03 9.312021875000000000e+04 4.837316666666666424e+04 4.760689285714285797e+05 1.964684759825327434e+06 7.030927947598253377e+04 3.400439094650205225e+05 4.293504242575492244e+05 4.139125000000000000e+05 1.902033850493652746e+06 4.540000000000000000e+03 6.477136065573770320e+05 5.281925000000000000e+04 1.176727500000000000e+05 1.946645569620253298e+02 8.217041666666665697e+04 3.986465000000000000e+05
4.270968421052631129e+03 2.407120967741935237e+04 1.184500000000000227e+03 9.425303125000000000e+04 5.005600000000000000e+04 4.738989285714285797e+05 2.045430960698690033e+06 7.445827510917031032e+04 3.583842386831275653e+05 4.460591589717993047e+05 4.275906250000000000e+05 2.004685472496473696e+06 4.240000000000000000e+03 6.753027868852459360e+05 6.219641666666665697e+04 1.251106785714285797e+05 2.030949367088608142e+02 8.594041666666667152e+04 4.152855000000000000e+05
3.516863157894736560e+03 2.232306451612903402e+04 1.126673913043478478e+03 8.713271875000000000e+04 4.650499999999999272e+04 4.489721428571428987e+05 1.900929519650655100e+06 6.734362445414847753e+04 3.195024691358024138e+05 4.028262041427501827e+05 3.924552083333333721e+05 1.836118476727785543e+06 4.060000000000000000e+03 6.079842622950819787e+05 4.955127777777778101e+04 1.091967142857142899e+05 1.837974683544303787e+02 7.947416666666665697e+04 3.740910000000000000e+05
3.112231578947367780e+03 2.079548387096774240e+04 1.014152173913043498e+03 8.295756250000000000e+04 4.301616666666666424e+04 4.348400000000000582e+05 1.815718689956332091e+06 6.229218340611354506e+04 3.052515637860082206e+05 3.772443473920638207e+05 3.682427083333333721e+05 1.759768688293370651e+06 4.020000000000000000e+03 5.690081967213114258e+05 4.113161111111110949e+04 1.005099285714285797e+05 1.710506329113924266e+02 7.439583333333332848e+04 3.502660000000000000e+05
2.886568421052631493e+03 1.966790322580645079e+04 1.009065217391304486e+03 7.692393750000000000e+04 4.086649999999999272e+04 4.030728571428571013e+05 1.655647991266375640e+06 5.784711790393012780e+04 2.773099176954732975e+05 3.504250311954080244e+05 3.421822916666666861e+05 1.588812411847672425e+06 4.060000000000000000e+03 5.326314754098359263e+05 4.045000000000000000e+04 9.378442857142857974e+04 1.600379746835443200e+02 6.935083333333332848e+04 3.280880000000000000e+05
2.848021052631578641e+03 1.886516129032257959e+04 9.847173913043478706e+02 7.416075000000000000e+04 3.978299999999999272e+04 3.895442857142856810e+05 1.620423711790393107e+06 5.643497816593886819e+04 2.705720576131687267e+05 3.392870476665835013e+05 3.314645833333333721e+05 1.559926657263751840e+06 3.960000000000000000e+03 5.170206557377048302e+05 3.975638888888889051e+04 9.065950000000000000e+04 1.551518987341772231e+02 6.776916666666665697e+04 3.184830000000000000e+05
2.835578947368420813e+03 1.903411290322580680e+04 9.839130434782608745e+02 7.405021875000000000e+04 4.000066666666666424e+04 3.873425000000000000e+05 1.610441746724891011e+06 5.667233624454148958e+04 2.665353086419752799e+05 3.389021836785625783e+05 3.312562500000000000e+05 1.544129760225670179e+06 3.960000000000000000e+03 5.143873770491802716e+05 3.975402777777778101e+04 9.021039285714285506e+04 1.549303797468354560e+02 6.760041666666665697e+04 3.168555000000000000e+05
2.836926315789473847e+03 1.838048387096773877e+04 9.847173913043479843e+02 7.133915625000000000e+04 3.944016666666666424e+04 3.726942857142857974e+05 1.582214366812227294e+06 5.579087336244541802e+04 2.596885185185185110e+05 3.294763913151983870e+05 3.229125000000000582e+05 1.518595204513399163e+06 3.780000000000000000e+03 5.011350819672130165e+05 4.019200000000000000e+04 8.756828571428571013e+04 1.511012658227848249e+02 6.669250000000000000e+04 3.086310000000000000e+05
2.817557894736842172e+03 1.761193548387096598e+04 9.041956521739131176e+02 6.993753125000000000e+04 3.797616666666666424e+04 3.662107142857142608e+05 1.580065633187772939e+06 5.474646288209607155e+04 2.620859670781893074e+05 3.233579735462939716e+05 3.156312500000000000e+05 1.535328631875881460e+06 3.660000000000000000e+03 4.903308196721310960e+05 3.785350000000000000e+04 8.543135714285714494e+04 1.470886075949367182e+02 6.523833333333332848e+04 3.019160000000000000e+05
2.430694736842105158e+03 1.654048387096774240e+04 7.990434782608696196e+02 6.549481250000000000e+04 3.366783333333332848e+04 3.427235714285714203e+05 1.383344017467248952e+06 4.814113537117905071e+04 2.382695061728394649e+05 2.970833790865984629e+05 2.871989583333333721e+05 1.337348377997179283e+06 3.600000000000000000e+03 4.516377049180327449e+05 3.336044444444443798e+04 8.002135714285714494e+04 1.346202531645569707e+02 5.735833333333332848e+04 2.782840000000000000e+05
2.512736842105262895e+03 1.593217741935483900e+04 7.828260869565216353e+02 6.402968750000000000e+04 3.355516666666666424e+04 3.357039285714285797e+05 1.409332794759825338e+06 4.845622270742358523e+04 2.414994650205761136e+05 2.939580608934364864e+05 2.843239583333333721e+05 1.376595204513399163e+06 3.520000000000000000e+03 4.474486885245901067e+05 3.349675000000000000e+04 7.841917857142856519e+04 1.328924050632911360e+02 5.783791666666666424e+04 2.756315000000000000e+05
2.484084210526315474e+03 1.549403225806451701e+04 7.915000000000000000e+02 6.188209375000000000e+04 3.311116666666666424e+04 3.245307142857143190e+05 1.369788995633187937e+06 4.742327510917031032e+04 2.336440329218106926e+05 2.856899426004491979e+05 2.765635416666666861e+05 1.335269393511988921e+06 3.520000000000000000e+03 4.369419672131147236e+05 3.394605555555555475e+04 7.629107142857143481e+04 1.297088607594936889e+02 5.674416666666666424e+04 2.692160000000000000e+05
2.479705263157894933e+03 1.523798387096774240e+04 7.785434782608697333e+02 6.083593750000000000e+04 3.304316666666666424e+04 3.197375000000000000e+05 1.362818995633187937e+06 4.736735807860262139e+04 2.300546913580246619e+05 2.817288370351883932e+05 2.724520833333333721e+05 1.329686882933709538e+06 3.660000000000000000e+03 4.309975409836065373e+05 3.352141666666666424e+04 7.450889285714286962e+04 1.278417721518987378e+02 5.638708333333332848e+04 2.656535000000000000e+05
2.550442105263157828e+03 1.541008064516129161e+04 7.620217391304348666e+02 6.212790625000000000e+04 3.336016666666666424e+04 3.263532142857142608e+05 1.400627860262008617e+06 4.846128820960698795e+04 2.371093827160493529e+05 2.876964437234838842e+05 2.775625000000000000e+05 1.373842031029619277e+06 3.680000000000000000e+03 4.386624590163934045e+05 3.358463888888889051e+04 7.600060714285714494e+04 1.300569620253164658e+02 5.735125000000000000e+04 2.703365000000000000e+05
1.059505263157894660e+03 1.978209677419354557e+04 2.788043478260869392e+02 5.501484375000000000e+04 3.164183333333333212e+04 1.062721428571428551e+05 4.895375545851528877e+05 7.442222707423580869e+04 1.590020164609053463e+05 3.038234589468430495e+05 8.992812500000000000e+04 5.124775740479548695e+05 0.000000000000000000e+00 4.809996721311474685e+05 5.981222222222221717e+03 8.848164285714285506e+04 1.499493670886076018e+02 4.714916666666667152e+04 2.931880000000000000e+05
1.175826315789473711e+03 2.131580645161290158e+04 2.941739130434782510e+02 5.884914062500000000e+04 3.538933333333333576e+04 1.157357142857142753e+05 5.605475327510917559e+05 8.377216157205239870e+04 1.735665432098765450e+05 3.295875093586223666e+05 9.928437500000000000e+04 5.967672778561355080e+05 0.000000000000000000e+00 5.113045901639343938e+05 6.706916666666666060e+03 9.347871428571427532e+04 1.581329113924050489e+02 5.450833333333333576e+04 3.116555000000000000e+05
1.238947368421052715e+03 2.437306451612903038e+04 3.322826086956521294e+02 6.575409375000000000e+04 3.949933333333334303e+04 1.262121428571428551e+05 6.420318340611353051e+05 9.473545851528384082e+04 1.890970781893004314e+05 3.632340903419016395e+05 1.101958333333333285e+05 6.941830747531733941e+05 0.000000000000000000e+00 5.552643278688524151e+05 7.456277777777777374e+03 1.036069285714285797e+05 1.714683544303797476e+02 6.236083333333333576e+04 3.384800000000000000e+05
1.482836842105263031e+03 2.585338709677418592e+04 3.723260869565216922e+02 7.014629687500000000e+04 4.185466666666667152e+04 1.382650000000000000e+05 6.711215938864630880e+05 1.000633406113537058e+05 2.021451851851851679e+05 3.921257174943848513e+05 1.173708333333333285e+05 7.140428772919604089e+05 0.000000000000000000e+00 6.049036065573769156e+05 8.008583333333332121e+03 1.124316428571428696e+05 1.929683544303797476e+02 6.520250000000000000e+04 3.687335000000000000e+05
1.423394736842104976e+03 2.428387096774193196e+04 3.538260869565216922e+02 6.660895312500000000e+04 3.941283333333334303e+04 1.362557142857142608e+05 6.432478820960698649e+05 9.574622270742357068e+04 1.941384773662551597e+05 3.752224232592962217e+05 1.124729166666666715e+05 6.829148095909731928e+05 0.000000000000000000e+00 5.896977049180327449e+05 7.567361111111109494e+03 1.085691428571428551e+05 1.885000000000000000e+02 6.226750000000000000e+04 3.594505000000000000e+05
1.463342105263157919e+03 2.294935483870967801e+04 3.392173913043477569e+02 6.287570312500000000e+04 3.865233333333332848e+04 1.363371428571428405e+05 6.558689737991266884e+05 9.596692139737990510e+04 1.884202880658436334e+05 3.636814948839530698e+05 1.105416666666666570e+05 7.034451339915373828e+05 0.000000000000000000e+00 5.675504918032785645e+05 7.511749999999999091e+03 1.036837142857142899e+05 1.833481012658228053e+02 6.387500000000000000e+04 3.459415000000000000e+05
1.306526315789473756e+03 2.164193548387096234e+04 3.238695652173912549e+02 6.028865625000000000e+04 3.399516666666667152e+04 1.175314285714285506e+05 5.075037991266375175e+05 7.890471615720524278e+04 1.719567901234567689e+05 3.333939356126778293e+05 9.693958333333332848e+04 5.176837799717912567e+05 0.000000000000000000e+00 5.344904918032785645e+05 6.499166666666666060e+03 9.733242857142856519e+04 1.724936708860759609e+02 4.880666666666666424e+04 3.257890000000000000e+05
1.333484210526315564e+03 2.112306451612903038e+04 3.184130434782608745e+02 5.854984375000000000e+04 3.390850000000000000e+04 1.157407142857142753e+05 5.130424017467249068e+05 7.895349344978167210e+04 1.688491358024691581e+05 3.280921387571748928e+05 9.582187500000000000e+04 5.268930888575457502e+05 0.000000000000000000e+00 5.179104918032786227e+05 6.530833333333333940e+03 9.471914285714286962e+04 1.685443037974683591e+02 4.966000000000000000e+04 3.156860000000000000e+05
1.380384210526315655e+03 1.993677419354838639e+04 3.023478260869565020e+02 5.485304687500000000e+04 3.420000000000000000e+04 1.182285714285714203e+05 5.614509388646289008e+05 8.297002183406113181e+04 1.658710699588477437e+05 3.209386199151484761e+05 9.642916666666667152e+04 5.944758815232722554e+05 0.000000000000000000e+00 4.947104918032786809e+05 6.700250000000000000e+03 9.058642857142857974e+04 1.624493670886076302e+02 5.500833333333333576e+04 3.015405000000000000e+05
1.400752631578947330e+03 1.970532258064515918e+04 2.972608695652173765e+02 5.393889062500000000e+04 3.490533333333333576e+04 1.216057142857142608e+05 5.996909388646286679e+05 8.676984716157204821e+04 1.670907407407407300e+05 3.222500998253056314e+05 9.852500000000001455e+04 6.454874471086036647e+05 0.000000000000000000e+00 4.910704918032786809e+05 6.881638888888888687e+03 8.998921428571427532e+04 1.612341772151898738e+02 5.899833333333332848e+04 2.993205000000000000e+05
1.377952631578947603e+03 1.927467741935483718e+04 2.919782608695651902e+02 5.295107812500000000e+04 3.404283333333333576e+04 1.184578571428571595e+05 5.774512445414846297e+05 8.400508733624454180e+04 1.635903292181069846e+05 3.157863863239331404e+05 9.601979166666667152e+04 6.180685472496473230e+05 0.000000000000000000e+00 4.819704918032786809e+05 6.712416666666667879e+03 8.812185714285714494e+04 1.585632911392405049e+02 5.676166666666666424e+04 2.937725000000000000e+05
